live_id,catalogue_metric_id,catalogue_entity,home_column,away_column,context
league_rank,league_rank,team,home_league_rank,away_league_rank,match_preview
points_won_form,points_won,team,home_points_won_sum_form,away_points_won_sum_form,match_preview
goals_per_match_recent,goals_per_match,team,home_goals_per_match_recent,away_goals_per_match_recent,match_preview
goals_against_per_match_recent,goals_against_per_match,team,home_goals_against_per_match_recent,away_goals_against_per_match_recent,match_preview
shots_per_match_recent,shots_per_match,team,home_shots_per_match_recent,away_shots_per_match_recent,match_preview
shot_accuracy_recent,shot_accuracy,team,home_shot_accuracy_recent,away_shot_accuracy_recent,match_preview
danger_zone_ratio_recent,danger_zone_ratio,team,home_danger_zone_ratio_recent,away_danger_zone_ratio_recent,match_preview
finishing_efficiency_recent,finishing_efficiency,team,home_finishing_efficiency_recent,away_finishing_efficiency_recent,match_preview
passes_per_match_recent,passes_per_match,team,home_passes_per_match_recent,away_passes_per_match_recent,match_preview
pass_accuracy_recent,pass_accuracy,team,home_pass_accuracy_recent,away_pass_accuracy_recent,match_preview
corner_kicks_per_match_recent,corners_per_match,team,home_corners_per_match_recent,away_corners_per_match_recent,match_preview
corners_against_per_match_recent,corners_against_per_match,team,home_corners_against_per_match_recent,away_corners_against_per_match_recent,match_preview
save_ratio_recent,saves_pct,team,home_saves_pct_recent,away_saves_pct_recent,match_preview
